,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
47,10,10,8.5,8.5,9,9,10,9.5,9.5,10,10,9,10,9.5,9.5,8.5,9.5,9.5,10,10,10,9,10,6,6,5,6,6,9.5,10,9.5,8.5,9.5,9.5,9,10,10,10,10,10,10,9,9,10,9.5,10,10,8,9,8,8,9,9.5,9.5,9.5,8.5,10,9.5,10,10,8.5,8.5,10,10,10,10,10,10
48,9.5,8,6,8.5,8,8,9,9,9,9,9,9,8,9,9,9,9,9,9,10,10,10,10,7,7,7,7,7,8.5,8,9.5,9.5,9.5,9.5,8,7,6,7,7,7,8,8,8,7,7,8,6,0,0,0,-1,0,7,7,6,7,9,7,10,10,8,8,0,0,0,0,10,10
49,8.5,10,9.5,9.5,10,10,10,9.5,8.5,10,10,10,10,8.5,9.5,8.5,9.5,9.5,10,10,10,10,10,9.5,9.5,8.5,9.5,9.5,10,10,10,9,10,10,10,10,10,9,10,10,10,9,10,10,8.5,10,9.5,10,10,10,10,9,9.5,8.5,9.5,8.5,9,9.5,10,10,9,9,10,10,10,10,10,8.5
50,9.5,5,9,7,10,9,6,9,9,6,6,6,5,9,8,9,8,9,9,10,10,10,10,9.5,8.5,8.5,9.5,9.5,8,10,7,7,7,8,10,6,7,7,6,6,9,10,10,10,9,10,8.5,10,10,9,10,9,8,9,8,9,9,9,10,10,8.5,8.5,10,10,8,8,10,10
51,10,10,10,8.5,10,8.5,10,10,10,9,10,10,10,10,10,10,10,10,9,9,10,9,10,10,10,9,10,10,8.5,10,9.5,9.5,9.5,9.5,10,10,10,9,10,10,9,9,10,9,10,10,9,10,10,9,9,9,9,10,10,10,10,10,10,10,9.5,9.5,10,10,10,10,10,10
52,8.5,10,8.5,9,10,5,10,9,9,10,9,10,10,10,9,10,10,10,10,10,10,10,9,10,10,10,9,10,9.5,10,8.5,9.5,8.5,8.5,9,9,9,9,9,9,10,10,9,9,9.5,10,8,10,10,9,10,10,9.5,9.5,8.5,9.5,9,9.5,10,10,9,9,10,10,10,10,10,10
53,9,7,9,9,9.5,10,7,9,9,7,7,7,7,8,9,8,9,9,10,9,9,10,10,8.5,8.5,8.5,8.5,8.5,9.5,10,9.5,8.5,9.5,9.5,10,7,6,7,7,7,10,10,10,10,9,9,9.5,9,10,10,10,9,8,9,9,9,8.5,9,10,10,8.5,8.5,10,10,10,10,10,10
54,7,9,8.5,0,-1,6,8,8,8,8,9,8,9,8,9,9,9,9,10,10,10,9,10,5,6,6,6,5,9,6,9,9,8,9,5,8.5,7.5,7.5,8.5,8.5,6,6,6,5,8.5,5,6,7.5,7.5,8.5,8.5,7.5,8.5,8.5,8.5,8.5,-1,7.5,10,10,9,9,10,10,10,10,10,10
55,10,0,9,9,10,-1,-1,8,8,0,-1,-1,0,9,9,9,9,8,10,10,10,10,9,9,10,10,10,10,10,10,9,10,9,10,9,6,5,5,6,5,10,10,10,10,9,9,9.5,9,10,10,9,9,9,9,9,9,10,8,10,10,8.5,8.5,10,10,6,6,10,10
56,8.5,9,9.5,10,9,8,9,8.5,7.5,10,10,9,10,7.5,8.5,8.5,8.5,8.5,10,10,10,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,9,10,9,10,10,9,9,9,9.5,10,10,10,9,10,10,10,9.5,9.5,9.5,9.5,10,8.5,10,10,9,9,10,10,10,10,10,10
57,9.5,10,9.5,9.5,10,9,10,9.5,8.5,10,9,10,9,8.5,9.5,9.5,8.5,9.5,10,10,10,10,10,9,10,10,10,10,9.5,10,8.5,9.5,8.5,8.5,10,9,10,9,9,10,10,9,10,10,9.5,10,10,9.5,9.5,9.5,9.5,9.5,8.5,8.5,8.5,9.5,10,9.5,10,10,9.5,9.5,10,10,10,10,10,10
58,9.5,6,10,9,9.5,5,6,9.5,8.5,6,6,6,6,9.5,8.5,8.5,9.5,8.5,9,9,10,10,10,9,9,9,8,9,8.5,6,9.5,9.5,8.5,9.5,6,6,6,6,6,5,6,5,5,6,9,5,8,9,10,9,9,10,10,10,10,10,9.5,10,9,9,8,8,0,0,0,0,0,0
59,7.5,0,0,6,6.5,7,0,-1,0,0,0,0,0,-1,-1,0,-1,0,-1,0,-1,-1,0,-1,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,6.5,0,9,9,8.5,8.5,0,0,0,0,0,0
60,9.5,10,9,9,9,8,9,9,9,10,10,9,10,9,9,9,9,9,10,10,10,10,10,5,5,5,5,5,10,6,10,10,10,10,6,10,9,10,10,9,6,6,6,6,9,5,10,9,9,10,10,10,9,9,9,8,10,9,9,9,9,9,10,10,10,10,10,10
61,7,9,9,8,8.5,8.5,9,8,9,8,9,9,8,9,8,8,9,8,6,6,5,6,6,8.5,8.5,9.5,9.5,9.5,7,10,8,8,8,7,10,6,6,7,7,6,10,10,10,10,9,9,8.5,8,8,8,7,8,9,9,8,8,8.5,9,10,10,9,9,10,10,10,10,10,10
62,9,9,7,6,9.5,8,9,10,10,8,9,9,9,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,9,10,9,9,10,9,6,6,6,6,6,10,10,9,9,7,10,9,10,10,9,10,9,6,7,6,7,9.5,7,9,9,8.5,8.5,10,10,9,9,10,10
63,8.5,9,10,9.5,9,9.5,9,9,9,9,8,9,9,10,10,9,9,10,10,10,10,9,9,10,10,10,10,10,9,10,10,10,9,10,9,9,10,9,10,10,9,10,9,9,10,10,8,9,10,9,10,10,9,10,10,10,10,10,10,10,8,8,10,10,10,10,10,10
64,9,10,8.5,8.5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,10,9,9,10,10,10,9,10,10,10,10,10,10,9,10,10,10,10,10,10,9,8.5,9,9,9,10,10,10,10,8.5,8.5,7.5,8.5,10,8.5,10,10,8.5,8.5,10,10,10,10,10,10
65,10,8.5,6.5,8,9,9,8.5,9,10,9.5,8.5,8.5,8.5,10,9,10,10,10,10,9,10,10,10,10,9,10,10,10,6,9,7,7,7,7,10,10,10,10,10,10,10,9,10,10,6.5,10,8,9.5,9.5,8.5,8.5,8.5,6.5,6.5,7.5,7.5,9,7.5,9,9,8.5,8.5,10,10,10,10,10,10
66,6.5,10,8.5,9.5,8.5,5,10,9.5,8.5,9,10,9,10,9.5,9.5,9.5,8.5,9.5,10,9,10,9,9,9.5,9.5,8.5,9.5,8.5,7,6,8,7,7,8,5,9,8,9,8,9,6,6,5,5,7.5,5,9,9.5,9.5,8.5,9.5,9.5,8.5,8.5,7.5,7.5,9.5,8.5,9,9,8.5,8.5,10,10,6,6,10,10
67,7.5,9,9.5,8,8.5,6,8,10,10,8,9,9,9,9,10,10,9,10,5,6,6,6,6,7,7,7,8,8,9.5,10,8.5,9.5,9.5,9.5,10,9.5,8.5,8.5,9.5,9.5,10,10,10,10,9.5,10,10,7,7,7,7,6,9.5,9.5,9.5,9.5,8.5,9.5,9,9,8,8,10,10,10,10,10,10
68,10,8.5,9,9,10,10,9.5,8,9,9.5,9.5,9.5,8.5,9,9,9,9,9,10,9,9,9,9,10,9,10,10,10,9,9,9,8,9,9,10,9,10,9,10,10,10,10,10,10,9,10,10,9.5,9.5,9.5,9.5,8.5,8,8,9,9,10,9,9,9,8.5,8.5,10,10,10,10,10,0
69,9.5,10,8,8,9.5,10,9,9,9,10,9,10,10,9,9,9,9,9,8,8,7,8,7,9,9,9,10,10,9,9,10,10,10,9,8,9,10,10,10,10,9,9,9,9,9,9,9,9.5,9.5,9.5,9.5,8.5,9,8,9,9,8.5,9,9,9,8,8,10,10,8,8,6,0
70,9.5,9.5,9,8.5,8.5,10,8.5,8,9,8.5,9.5,9.5,8.5,9,9,9,9,8,9,9,9,9,10,10,10,10,9,10,9,5,8,8,8,9,6,10,10,10,9,9,6,5,6,6,9,6,9.5,9,9,8,9,9,9,9,9,8,8.5,8,10,10,9,9,10,10,10,10,4,6
71,10,9,8,8.5,9.5,8,10,9,8,10,10,9,10,9,9,8,8,9,10,9,10,10,10,10,10,10,10,9,9,5,9,8,9,8,6,9,9,9,9,10,6,6,6,5,8,6,10,10,10,10,10,10,7,7,7,8,8.5,8,10,10,9,9,10,10,9,9,6,6
72,8.5,10,8,9,10,10,10,9.5,9.5,10,10,10,10,9.5,8.5,9.5,8.5,9.5,10,9,10,10,10,9,10,10,10,10,9,10,10,10,9,10,10,10,10,10,10,9,10,10,10,9,9,9,9,10,9,10,9,10,9,8,9,9,10,8,10,10,8.5,8.5,10,10,10,10,10,10
73,9,9.5,9,8.5,10,9,8.5,10,10,9.5,9.5,8.5,8.5,10,9,10,9,9,10,10,10,10,10,10,10,10,10,10,9,9.5,9,10,10,10,8.5,10,10,9,10,10,8.5,9.5,9.5,9.5,9,9.5,9,9,9,10,10,10,9,10,10,9,10,10,10,10,9,9,10,10,10,10,10,10
74,10,9.5,9,9.5,10,10,8.5,9.5,9.5,8.5,8.5,9.5,8.5,9.5,9.5,8.5,9.5,9.5,8,9,9,9,9,10,9,10,10,9,8,9,8,7,8,7,9,9,9,10,10,9,10,10,10,10,9,10,9,8,9,8,8,9,9,8,9,8,10,8,10,10,9.5,9.5,10,10,10,10,10,10
75,9,9,9,9.5,9,9,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,9,9,9,9,10,10,10,9,9,9,8,9,9,10,9,10,9,10,9,10,10,10,10,10,10,10,9.5,9.5,8.5,9.5,8.5,10,9,10,10,10,10,10,10,8,8,10,10,10,10,10,10
76,9.5,9.5,9,8.5,6,8,8.5,7,6,8.5,9.5,9.5,9.5,6,6,6,7,6,10,9,10,9,10,10,9,10,10,10,8,9,8,8,8,8,10,6,5,5,6,6,9,10,10,10,10,9,10,10,10,10,10,9,10,9,10,9,7,9,9,9,8,8,6,6,9,9,8,10
77,10,9,0,7.5,10,5,9,9,8,8,9,8,9,9,9,9,8,8,5,5,6,5,6,6,5,6,5,5,7,0,7,7,6,7,0,6,6,6,5,6,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,0,10,0,9,9,8,8,0,0,0,0,0,0
78,9,10,10,10,10,6,10,10,9,9,9,10,9,10,9,10,10,10,9,9,10,10,10,10,9,10,10,9,8,9,9,9,8,9,9,8,8,8,8,8,9,10,9,10,10,10,10,9,10,10,10,10,9,9,10,10,10,10,10,10,8,8,10,10,6,6,8,10
79,8,10,7.5,9.5,8.5,8.5,10,9,10,10,10,9,10,10,9,9,9,9,10,10,9,9,10,10,10,10,9,9,9,9,9,10,9,9,10,9.5,9.5,9.5,8.5,9.5,10,10,10,10,8.5,10,6,9,9,10,10,9,8.5,8.5,8.5,8.5,9.5,7.5,9,9,8.5,8.5,10,10,6,6,8,10
80,10,8.5,9.5,9.5,9.5,9,9.5,9.5,8.5,9.5,8.5,9.5,9.5,8.5,9.5,9.5,8.5,9.5,10,9,9,10,9,8,9,9,8,8,8,10,7,8,8,8,10,8,8,8,8,8,10,9,10,9,9.5,10,10,9.5,9.5,9.5,9.5,9.5,9.5,9.5,8.5,8.5,8.5,9.5,10,10,9.5,9.5,10,10,10,10,10,10
81,7.5,10,9.5,8,10,10,10,9.5,8.5,10,10,10,10,9.5,9.5,9.5,9.5,9.5,10,10,10,10,10,10,10,10,9,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,9,9.5,9,10,10,9,10,10,10,9.5,9.5,9.5,9.5,10,9.5,10,10,9,9,10,10,10,10,10,10
82,7,9.5,7.5,9.5,7,9,8.5,8.5,9.5,9.5,8.5,9.5,8.5,9.5,9.5,9.5,9.5,8.5,10,10,10,10,9,8,9,9,9,8,9,10,9,9,8,9,9,8.5,9.5,9.5,9.5,9.5,10,10,9,9,7.5,10,8.5,10,10,10,9,9,7.5,6.5,6.5,7.5,7,7.5,10,10,9.5,9.5,10,10,7,7,10,10
83,8,9,10,10,9.5,10,9,9.5,8.5,8,9,9,9,9.5,9.5,8.5,9.5,9.5,9,9,10,10,10,10,10,9,10,10,8.5,10,9.5,9.5,8.5,8.5,10,9,10,9,9,10,10,9,10,10,9,10,9,10,9,10,9,10,10,9,10,10,8.5,9,9,9,8,8,10,10,10,10,10,10
84,10,8.5,9,9,10,9,9.5,8.5,8.5,9.5,9.5,8.5,8.5,9.5,8.5,9.5,9.5,8.5,10,10,10,10,10,8,9,9,8,9,10,8,10,10,10,9,8,10,10,10,9,10,8,8,8,8,9,7,10,8,9,9,9,9,9,9,9,9,9,9,10,10,8,8,10,10,9,9,10,7
85,8.5,8.5,8.5,9.5,8,9,9.5,9.5,8.5,8.5,9.5,9.5,8.5,9.5,9.5,9.5,9.5,9.5,9,9,10,9,10,10,9,10,9,10,9,10,9,9,9,9,10,10,10,10,9,10,10,10,10,10,8.5,10,9,9,8,8,9,9,8.5,9.5,9.5,8.5,9,9.5,9,9,9,9,10,10,10,10,10,10
86,8,8.5,8,8.5,9,0,8.5,10,10,9.5,9.5,9.5,9.5,10,10,10,10,9,10,9,10,10,9,9,9,9,8,8,9,10,9,9,9,9,9,9.5,9.5,9.5,9.5,9.5,10,10,10,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,10,10,8.5,8.5,10,10,8,8,10,6
87,7.5,9,8,9,9.5,10,9,9,9,9,8,8,8,9,9,9,9,9,10,10,10,10,10,9,9,8,9,8,8,10,7,7,8,8,9,9,8,8,9,8,9,10,10,9,8,10,7.5,8.5,8.5,7.5,8.5,8.5,7,8,7,8,8.5,7,10,10,9.5,9.5,10,10,10,10,10,8
88,9,9.5,9,9.5,8.5,9.5,8.5,10,10,9.5,8.5,8.5,9.5,10,10,10,10,9,10,10,10,10,10,10,10,9,9,10,10,10,10,9,10,10,10,9.5,9.5,9.5,9.5,9.5,10,10,9,9,10,10,9.5,9,10,10,10,10,10,9,9,10,9.5,10,9,9,9,9,10,10,10,10,10,10
89,9,9,10,9.5,10,10,10,10,10,10,10,10,9,10,10,9,9,10,10,9,10,10,9,9,10,10,9,10,10,10,9,9,9,10,9,9,10,10,9,10,10,10,10,9,10,10,8.5,10,9,9,10,10,10,10,9,10,9,9,10,10,8.5,8.5,10,10,10,10,10,10
90,8,5,0,8.5,8,10,6,9.5,8.5,6,6,6,5,9.5,9.5,9.5,9.5,8.5,6,5,6,5,5,10,10,9,10,10,7,8,8,8,8,8,8,9.5,8.5,8.5,9.5,9.5,9,9,8,9,0,9,10,-1,0,0,0,0,-1,0,-1,-1,9,0,9,9,8.5,8.5,10,10,0,0,0,0
91,9,10,9.5,8.5,9.5,9.5,10,10,10,10,10,10,10,9,10,10,10,10,9,10,9,9,10,10,10,9,10,10,9.5,10,8.5,8.5,9.5,9.5,10,8.5,9.5,9.5,9.5,8.5,10,10,10,9,8.5,10,9,10,10,9,10,10,9.5,9.5,8.5,9.5,9.5,9.5,9,9,8.5,8.5,10,10,10,10,10,10
92,8.5,10,9.5,9,5.5,9,10,8.5,8.5,10,9,10,9,8.5,7.5,8.5,8.5,8.5,10,9,9,10,10,8,9,9,8,9,8,10,8,8,8,7,10,10,10,9,9,9,10,9,10,10,9.5,9,10,9,10,10,9,10,9.5,8.5,9.5,9.5,6.5,9.5,10,10,8.5,8.5,10,10,10,10,10,8.5
93,8.5,9.5,8.5,9.5,10,9.5,9.5,9.5,8.5,8.5,9.5,9.5,9.5,9.5,8.5,8.5,9.5,9.5,10,10,10,10,10,8.5,7.5,7.5,8.5,7.5,10,10,10,10,10,10,10,9.5,9.5,9.5,9.5,8.5,10,10,10,9,8.5,9,10,10,9,10,9,10,9.5,9.5,8.5,9.5,9,9.5,9,9,9.5,9.5,10,10,10,10,10,10
94,9,10,9,8.5,8,10,10,10,10,9,10,9,10,10,10,10,9,10,10,10,10,10,9,10,10,10,10,9,10,9,10,10,10,10,9,8.5,9.5,8.5,9.5,8.5,10,10,9,9,9,10,9,10,10,10,10,9,9,9,9,9,9,9,10,10,9.5,9.5,10,10,10,10,10,10
95,5,0,9,6,9,6,0,0,0,0,-1,0,0,0,0,0,0,0,9,9,9,9,10,8.5,7.5,8.5,8.5,8.5,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,8,9,8,10,10,10,10,10,8,8,9,8,9,8,9,9,8,8,0,0,0,0,0,0
