,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,9,8,9,10,9,9,8,10,9,9,10,6,6,10,8,10,8,10
1,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
2,10,9,10,10,10,9,9,10,9,9,10,10,9,10,9,9,8,10
3,10,10,9,10,10,10,9,10,10,10,10,9,10,10,10,10,10,10
4,10,0,10,10,9,10,0,9,10,9,10,0,0,10,10,10,10,10
5,7,9,10,10,8,8,8,10,9,8,10,10,10,10,10,10,9,10
6,10,9,9,7,10,10,9,8,8,10,10,10,10,0,10,10,10,10
7,10,8,9,10,10,10,9,10,10,10,10,8,9,7,10,10,9,10
8,10,8,10,8,10,9,8,10,8,10,10,10,9,9,10,10,9,10
9,8,8,9,8,8,9,8,10,8,8,10,0,0,10,10,10,10,10
10,9,10,9,9,9,9,10,10,9,9,10,10,9,8,10,9,9,10
11,9,8,10,10,9,8,9,10,10,9,10,9,10,10,10,10,10,10
12,9,10,9,9,8,9,10,10,10,9,10,10,10,10,10,10,10,10
13,9,10,10,9,10,9,9,9,10,10,10,10,9,10,10,10,10,10
14,10,9,10,9,10,10,10,9,10,9,10,0,0,10,10,0,10,10
15,10,10,10,9,9,9,10,10,10,9,10,10,8,10,10,10,10,10
16,10,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10
17,9,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10
18,10,10,9,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10
19,9,9,10,10,9,10,9,10,10,9,10,9,10,10,10,10,10,10
20,10,10,10,10,10,9,9,10,10,9,10,10,10,10,10,10,10,10
21,10,10,10,9,10,9,10,10,10,10,10,10,9,10,10,10,10,10
22,10,10,10,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10
23,9,10,9,10,9,10,10,10,10,10,10,9,10,10,9,10,8,10
24,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
25,10,9,9,9,9,10,9,10,10,10,10,10,10,10,10,10,10,10
26,10,10,9,9,10,10,10,10,10,10,10,9,10,10,10,10,8,10
27,9,10,10,10,10,10,9,10,10,10,10,10,9,10,10,10,10,10
28,10,10,9,9,10,10,10,10,10,10,10,8,9,10,10,10,10,10
29,10,9,10,10,10,9,8,10,10,10,10,10,10,10,10,10,10,10
30,9,7,10,10,9,10,7,10,9,9,10,10,10,10,10,10,10,10
31,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
32,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10
33,10,9,10,10,10,10,10,10,9,10,10,10,10,5,10,10,10,10
34,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
35,9,10,10,9,10,10,10,9,9,10,10,10,10,10,10,10,10,10
36,10,9,9,10,10,10,10,10,9,10,10,10,8,10,10,10,10,10
37,9,8,9,9,10,9,8,9,8,9,10,10,10,10,10,10,10,8
38,9,0,9,10,10,10,0,9,10,9,10,8,10,9,10,8,9,10
39,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10
40,10,9,10,10,9,10,10,9,10,10,10,10,10,10,10,9,10,10
41,10,9,10,10,9,9,9,10,10,9,10,10,9,10,10,10,10,10
42,10,10,10,10,10,10,10,10,9,10,10,9,9,10,9,10,10,10
43,10,9,10,10,10,10,9,9,9,10,10,9,10,10,10,10,10,10
44,10,9,9,10,10,10,8,10,10,9,10,9,10,7,10,10,10,10
45,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10
46,10,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10
47,10,9,9,10,10,9,10,9,10,9,10,10,10,10,10,10,10,10
48,10,9,9,-1,10,9,8,8,0,10,10,10,10,6,10,10,10,10
49,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9
50,10,9,10,10,10,10,10,9,10,10,10,9,8,10,10,10,10,10
51,6,10,10,10,5,5,10,9,10,6,10,0,0,10,10,10,10,10
52,9,9,10,10,9,10,9,10,10,10,10,10,10,10,10,10,10,10
53,10,9,10,9,9,10,10,10,9,10,10,9,10,10,10,10,10,10
54,10,9,9,10,10,10,10,10,9,9,10,8,10,10,10,10,10,10
55,9,9,9,10,8,8,10,10,10,8,10,10,10,10,10,10,10,10
56,9,10,10,9,10,10,9,10,10,9,10,10,10,10,10,10,10,10
57,10,8,9,9,9,10,9,9,10,9,10,10,6,10,10,10,10,10
58,9,9,9,9,10,9,10,10,9,9,10,10,10,8,10,10,10,10
59,10,9,9,10,9,9,8,9,9,9,10,8,10,9,10,10,10,9
60,9,10,9,10,9,9,10,10,10,10,10,10,7,10,10,10,10,10
61,9,10,9,10,10,10,10,8,9,10,10,9,10,10,10,10,10,10
62,9,10,10,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10
63,9,4,10,9,10,10,5,10,10,9,10,10,10,9,10,10,10,10
64,8,8,10,10,8,9,9,10,9,9,10,10,9,10,10,10,10,10
65,9,9,9,9,9,9,9,9,8,9,10,10,10,10,10,10,8,10
66,10,10,10,10,9,10,10,10,9,9,10,10,10,10,10,10,10,10
67,9,8,8,10,10,10,9,7,10,9,10,0,10,10,10,10,10,10
68,10,8,10,10,10,10,8,10,10,10,10,9,10,10,10,10,10,10
69,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
70,10,8,9,9,9,10,9,10,9,9,10,5,10,10,9,10,10,10
71,10,10,9,8,9,10,9,9,9,9,10,10,10,10,8,10,10,10
72,10,9,10,10,10,10,8,9,10,10,10,10,10,10,10,10,10,10
73,9,9,10,10,10,9,8,10,10,10,10,8,9,7,10,10,10,10
74,10,8,7,10,10,9,8,7,10,10,10,10,10,10,10,10,10,10
75,10,-1,0,0,10,9,-1,-1,0,10,10,9,10,10,10,10,0,0
76,8,9,10,10,9,8,9,9,10,8,10,10,10,6,10,10,10,10
77,9,9,9,10,9,9,9,10,10,8,10,10,10,10,10,10,10,10
78,10,9,10,10,9,10,9,10,9,10,10,10,6,10,10,10,10,10
79,9,7,8,10,9,9,6,8,10,9,10,10,10,7,10,10,10,10
80,10,8,10,10,10,9,8,10,10,10,10,9,9,10,10,10,10,10
81,10,8,7,9,10,9,9,8,10,10,10,10,8,9,10,10,10,10
82,8,7,7,10,8,8,7,6,10,8,10,8,9,9,10,10,10,10
83,10,9,9,9,10,10,10,10,10,9,10,10,10,9,9,10,10,10
84,10,9,10,10,10,10,9,10,10,10,10,8,9,0,10,10,10,10
85,10,9,10,9,10,10,9,9,10,10,10,10,10,10,8,10,10,10
86,10,8,9,8,10,9,9,8,9,10,10,6,7,10,10,10,8,10
87,10,10,9,9,9,9,9,10,10,10,10,10,10,10,10,9,9,10
88,10,3,10,10,10,9,3,10,9,10,10,10,9,10,10,9,10,10
89,9,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10
90,10,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10
91,9,8,8,9,9,9,9,8,10,9,10,10,10,10,10,10,10,10
92,10,9,10,9,9,10,10,10,9,9,10,10,10,10,10,10,10,10
93,10,8,10,9,9,10,9,9,9,10,10,10,10,10,9,10,10,0
94,9,10,9,9,10,9,10,10,10,10,10,9,10,10,10,10,10,10
95,10,9,9,9,10,10,10,10,9,10,10,5,10,10,10,10,8,10
96,8,9,10,9,9,8,10,9,9,8,10,10,10,10,10,10,10,10
97,9,10,9,10,10,10,10,10,10,9,10,10,10,8,10,10,10,10
98,9,10,8,10,9,10,10,8,9,10,10,9,10,10,10,10,10,10
99,10,9,10,10,10,10,10,10,10,9,10,10,10,8,10,10,10,10
100,9,10,8,10,10,9,9,8,10,10,10,10,9,10,10,10,10,10
101,10,10,8,9,10,9,9,8,10,9,10,10,9,10,10,10,10,10
102,10,9,9,10,10,9,9,10,10,10,10,7,10,9,0,0,10,10
103,10,10,10,10,10,9,9,10,10,10,10,10,7,10,10,10,10,10
104,10,9,10,10,9,10,10,10,9,9,10,10,10,9,10,10,10,10
105,9,10,10,10,8,9,9,9,10,9,10,10,10,10,10,10,10,10
106,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,9
107,5,9,10,10,5,6,9,10,10,6,10,10,10,8,9,10,10,10
108,10,8,10,10,9,10,8,10,10,10,10,10,10,8,9,9,10,10
109,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10
110,10,9,7,9,10,9,9,7,10,10,10,10,9,10,10,10,10,10
111,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,9,10
112,10,9,8,10,10,10,9,8,9,10,10,10,10,10,10,10,10,10
113,9,9,9,9,10,10,10,9,10,9,10,10,9,10,8,9,10,10
114,9,9,10,10,9,9,9,10,9,10,10,10,9,10,10,9,10,10
115,10,10,9,9,9,9,9,10,10,10,10,9,10,10,10,10,10,10
116,9,9,6,10,10,10,9,6,10,10,10,10,8,9,7,8,10,10
117,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10,10,10,10
118,9,9,10,10,10,10,10,9,10,10,10,10,10,7,10,9,10,10
119,10,7,10,9,10,10,7,10,9,9,10,8,10,10,9,10,8,9
120,10,6,9,9,10,10,5,10,10,9,10,10,7,8,10,10,10,10
121,10,10,10,10,10,9,10,10,10,10,10,10,10,9,10,10,10,10
122,9,8,10,8,10,10,8,10,7,9,10,10,10,8,10,10,8,6
123,10,8,10,9,10,9,9,10,8,10,10,10,8,10,10,10,8,10
124,10,9,9,9,10,10,9,9,10,10,10,10,10,10,10,10,10,10
125,10,9,9,10,10,9,9,8,10,10,10,10,9,10,10,10,10,10
126,9,10,10,10,10,10,10,10,10,9,10,10,9,9,10,10,10,10
127,10,10,9,9,10,10,10,10,10,10,10,10,10,10,9,10,10,9
128,9,9,10,9,10,9,9,9,10,9,10,10,10,10,10,10,10,10
129,10,9,10,10,9,10,10,10,9,9,10,10,6,10,10,9,9,10
130,9,9,8,8,9,9,8,9,8,9,10,10,8,10,8,10,10,10
131,9,10,10,10,9,9,10,10,10,10,10,10,7,9,8,10,8,10
132,9,10,8,9,10,9,9,7,8,9,10,10,8,10,8,10,10,10
133,10,0,8,10,10,10,0,8,10,10,10,10,10,10,10,10,10,10
134,10,9,10,10,10,10,9,10,10,9,10,10,9,10,10,10,8,7
135,9,10,9,9,10,10,10,10,10,9,10,10,10,10,10,10,8,10
136,10,9,10,9,10,10,10,10,9,10,10,9,10,10,10,9,10,10
137,10,9,10,10,10,9,8,10,10,10,10,9,10,10,10,10,10,10
138,10,10,9,10,10,9,10,9,9,10,10,9,10,10,10,10,10,10
139,10,10,10,9,9,9,10,10,10,9,10,10,10,10,10,10,10,10
140,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,8,10
141,9,10,9,10,10,10,10,8,9,10,10,10,10,10,10,10,9,10
142,10,10,10,9,10,10,10,9,10,9,10,10,10,10,10,10,10,10
143,10,9,9,8,9,10,9,9,9,9,10,10,10,10,10,10,10,10
144,9,6,10,0,9,9,7,9,-1,9,10,8,10,10,10,10,10,10
145,10,9,9,0,10,10,10,9,-1,9,10,10,6,10,10,10,10,6
146,10,9,9,10,9,9,10,10,10,9,10,10,10,10,10,10,10,10
147,10,7,9,8,10,10,7,9,8,10,10,10,8,9,10,10,10,10
148,10,10,10,9,10,9,10,10,9,10,10,10,10,10,10,10,10,10
149,10,10,9,10,10,9,10,10,9,10,10,9,10,10,10,10,10,10
150,10,10,10,9,10,10,10,10,10,9,10,10,10,10,10,10,10,10
151,9,10,10,10,10,10,10,9,9,9,10,9,10,10,10,10,10,10
152,9,9,10,10,9,10,9,10,10,10,10,9,10,10,10,10,10,10
153,9,9,0,9,10,10,8,-1,10,9,10,6,10,10,10,10,10,10
154,9,9,10,10,9,9,10,10,9,10,10,9,10,10,10,10,10,10
155,10,10,9,9,9,10,10,10,10,10,10,9,10,10,10,10,8,8
156,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
157,10,10,9,9,10,9,10,9,9,10,10,10,10,10,10,10,8,10
158,10,9,8,10,10,10,8,7,9,10,10,10,9,10,9,7,8,10
159,10,10,10,9,9,10,10,9,9,10,10,10,9,9,10,10,10,10
160,6,9,8,9,5,6,9,8,10,6,10,10,6,10,10,0,10,10
161,10,3,6,9,10,10,4,7,9,9,10,8,6,10,10,8,10,6
162,9,9,10,10,10,10,10,10,9,10,10,9,10,10,10,10,8,10
163,8,10,10,10,8,8,10,10,10,8,10,9,10,10,10,10,10,10
164,10,9,10,10,10,10,9,9,10,9,10,10,9,10,10,10,10,10
165,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10
166,10,10,10,10,9,9,10,10,10,9,10,10,10,10,10,10,10,10
167,9,10,10,9,10,9,10,9,10,9,10,10,10,10,10,10,10,10
168,7,10,10,10,6,7,9,10,10,6,10,10,10,10,10,10,10,10
169,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
170,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10
171,9,10,9,10,9,10,10,8,9,10,10,10,9,10,9,10,10,10
172,10,9,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10
173,10,9,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10
174,10,10,10,9,10,10,10,9,10,9,10,10,10,10,9,10,10,10
175,9,10,9,9,9,10,9,9,10,10,10,10,10,10,9,10,10,10
176,10,8,10,10,10,9,9,10,10,9,10,9,7,0,8,8,7,10
177,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10
178,10,10,9,10,10,9,9,10,9,10,10,10,9,10,10,10,10,10
179,10,10,9,10,10,10,10,10,10,10,10,10,6,10,10,10,10,9
180,9,10,10,10,9,9,10,9,9,8,10,7,7,9,10,10,10,10
181,9,8,10,9,10,10,9,10,10,10,10,9,9,9,8,10,8,10
182,8,9,10,9,7,8,8,10,10,8,10,10,9,7,8,8,8,6
183,10,10,10,9,9,10,10,10,10,10,10,9,7,10,10,10,10,9
184,9,9,10,10,10,10,10,9,10,9,10,9,7,9,9,9,10,9
185,10,9,10,10,9,9,9,10,10,9,10,9,7,10,10,10,10,10
186,10,8,10,10,9,10,8,10,10,9,10,9,10,10,10,10,10,10
187,10,4,9,-1,10,10,4,8,0,10,10,9,7,10,10,9,7,10
188,10,9,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10
189,10,10,9,10,9,9,9,9,10,9,10,9,9,10,10,10,10,10
190,10,9,10,10,10,10,9,9,10,10,10,7,7,9,10,10,10,10
191,9,10,10,9,9,9,10,10,9,9,10,9,9,10,9,10,8,8
192,10,10,9,10,9,10,9,9,9,10,10,10,10,10,9,10,10,10
193,8,9,10,10,7,8,9,9,9,7,10,10,8,10,10,8,8,9
